date,sku,category,price,quantity
2025-03-12,"ELE-0096","Headphones",138597,15
2025-03-14,"ELE-0011","Earbuds",126107,6
2025-03-16,"ELE-0128","Monitor",87933,12
2025-03-16,"ELE-0092","Headphones",133850,9
2025-03-16,"ELE-0077","Router",128746,3
2025-03-16,"ELE-0008","Tablet",91868,4
2025-03-17,"ELE-0100","Tablet",116312,15
2025-03-19,"ELE-0064","Router",140295,10
2025-03-20,"ELE-0134","Mouse",1402,12
2025-03-22,"ELE-0148","Camera",6728,8
2025-03-22,"ELE-0107","Charger",85113,4
2025-03-22,"ELE-0017","Keyboard",7892,12
2025-03-23,"ELE-0006","Smartphone",47459,9
2025-03-23,"ELE-0149","Cable",30878,14
2025-03-26,"ELE-0020","Monitor",23223,7
2025-03-26,"ELE-0035","Power",144433,13
2025-03-27,"ELE-0085","Cable",143371,12
2025-03-27,"ELE-0017","Keyboard",7892,1
2025-03-27,"ELE-0090","Smartphone",66742,15
2025-03-29,"ELE-0123","Keyboard",53504,14
2025-03-30,"ELE-0048","Keyboard",111254,5
2025-03-30,"ELE-0092","Headphones",133850,9
2025-03-30,"ELE-0023","Smartwatch",125339,2
2025-03-31,"ELE-0077","Router",128746,13
2025-03-31,"ELE-0099","Cable",60914,11
2025-04-01,"ELE-0059","Earbuds",77446,12
2025-04-01,"ELE-0101","Camera",146893,8
2025-04-02,"ELE-0096","Headphones",138597,12
2025-04-02,"ELE-0048","Keyboard",111254,3
2025-04-03,"ELE-0116","Charger",110943,4
2025-04-04,"ELE-0005","Keyboard",53052,7
2025-04-06,"ELE-0026","Smartphone",81857,3
2025-04-07,"ELE-0093","Monitor",81746,6
2025-04-07,"ELE-0045","Headphones",2636,7
2025-04-08,"ELE-0091","Camera",13453,6
2025-04-11,"ELE-0116","Charger",110943,4
2025-04-11,"ELE-0031","Smartphone",107149,12
2025-04-14,"ELE-0002","Cable",54224,7
2025-04-15,"ELE-0107","Charger",85113,14
2025-04-16,"ELE-0026","Smartphone",81857,11
2025-04-16,"ELE-0117","Headphones",104020,5
2025-04-17,"ELE-0056","Smartphone",146999,9
2025-04-18,"ELE-0035","Power",144433,8
2025-04-18,"ELE-0096","Headphones",138597,4
2025-04-20,"ELE-0131","Mouse",18990,7
2025-04-21,"ELE-0127","Smartwatch",57796,12
2025-04-21,"ELE-0037","Keyboard",34253,5
2025-04-23,"ELE-0119","Charger",93399,4
2025-04-25,"ELE-0064","Router",140295,11
2025-04-27,"ELE-0077","Router",128746,12
2025-04-28,"ELE-0050","Monitor",23494,6
2025-04-28,"ELE-0064","Router",140295,15
2025-04-29,"ELE-0007","Keyboard",139848,4
2025-04-29,"ELE-0068","Power",119353,5
2025-04-29,"ELE-0146","Headphones",148826,14
2025-04-29,"ELE-0018","Power",108180,10
2025-04-30,"ELE-0106","Cable",112457,1
2025-04-30,"ELE-0116","Charger",110943,4
2025-04-30,"ELE-0004","Tablet",79575,7
2025-05-01,"ELE-0130","Earbuds",34320,13
2025-05-02,"ELE-0137","Power",10829,13
2025-05-03,"ELE-0060","Charger",120499,11
2025-05-04,"ELE-0070","Monitor",105217,14
2025-05-05,"ELE-0023","Smartwatch",125339,8
2025-05-05,"ELE-0048","Keyboard",111254,13
2025-05-05,"ELE-0115","Headphones",36319,7
2025-05-05,"ELE-0055","Cable",146950,11
2025-05-06,"ELE-0090","Smartphone",66742,13
2025-05-06,"ELE-0058","Keyboard",131630,10
2025-05-07,"ELE-0110","Camera",17588,7
2025-05-08,"ELE-0090","Smartphone",66742,8
2025-05-08,"ELE-0026","Smartphone",81857,6
2025-05-09,"ELE-0093","Monitor",81746,14
2025-05-10,"ELE-0106","Cable",112457,4
2025-05-10,"ELE-0123","Keyboard",53504,15
2025-05-10,"ELE-0024","Camera",128460,9
2025-05-10,"ELE-0020","Monitor",23223,6
2025-05-10,"ELE-0002","Cable",54224,6
2025-05-10,"ELE-0040","Smartwatch",86355,10
2025-05-13,"ELE-0067","Charger",121166,5
2025-05-14,"ELE-0106","Cable",112457,11
2025-05-14,"ELE-0122","Charger",71944,4
2025-05-14,"ELE-0010","Router",27156,5
2025-05-16,"ELE-0116","Charger",110943,14
2025-05-16,"ELE-0058","Keyboard",131630,14
2025-05-16,"ELE-0013","Laptop",79209,8
2025-05-17,"ELE-0109","Tablet",85353,6
2025-05-17,"ELE-0043","Tablet",112852,11
2025-05-17,"ELE-0011","Earbuds",126107,4
2025-05-18,"ELE-0072","Speaker",114323,13
2025-05-18,"ELE-0007","Keyboard",139848,9
2025-05-19,"ELE-0080","Headphones",98304,12
2025-05-19,"ELE-0057","Mouse",12659,9
2025-05-20,"ELE-0142","Power",94578,8
2025-05-20,"ELE-0129","Earbuds",89483,10
2025-05-21,"ELE-0051","Laptop",80062,6
2025-05-22,"ELE-0150","Headphones",99609,15
2025-05-24,"ELE-0054","Tablet",148131,1
2025-05-24,"ELE-0106","Cable",112457,6
2025-05-26,"ELE-0119","Charger",93399,10
2025-05-28,"ELE-0005","Keyboard",53052,13
2025-05-30,"ELE-0009","Speaker",65719,3
2025-05-30,"ELE-0024","Camera",128460,10
2025-06-03,"ELE-0106","Cable",112457,4
2025-06-04,"ELE-0009","Speaker",65719,9
2025-06-05,"ELE-0025","Earbuds",36073,2
2025-06-05,"ELE-0062","Monitor",132816,4
2025-06-07,"ELE-0041","Camera",81822,14
2025-06-07,"ELE-0088","Speaker",142081,1
2025-06-08,"ELE-0030","Charger",15133,14
2025-06-08,"ELE-0115","Headphones",36319,10
2025-06-09,"ELE-0093","Monitor",81746,11
2025-06-10,"ELE-0014","Router",125920,6
2025-06-12,"ELE-0099","Cable",60914,11
2025-06-13,"ELE-0083","Cable",104629,9
2025-06-16,"ELE-0036","Smartwatch",46307,14
2025-06-19,"ELE-0056","Smartphone",146999,10
2025-06-23,"ELE-0113","Smartphone",125949,8
2025-06-23,"ELE-0122","Charger",71944,9
2025-06-24,"ELE-0014","Router",125920,15
2025-06-25,"ELE-0102","Power",108393,5
2025-06-26,"ELE-0112","Monitor",22156,6
2025-06-26,"ELE-0073","Keyboard",113384,3
2025-06-29,"ELE-0004","Tablet",79575,5
2025-06-29,"ELE-0119","Charger",93399,10
2025-07-02,"ELE-0103","Mouse",22610,15
2025-07-03,"ELE-0130","Earbuds",34320,14
2025-07-04,"ELE-0048","Keyboard",111254,4
2025-07-06,"ELE-0138","Headphones",20827,10
2025-07-08,"ELE-0022","Camera",120011,8
2025-07-09,"ELE-0088","Speaker",142081,3
2025-07-10,"ELE-0012","Monitor",93351,8
2025-07-13,"ELE-0126","Router",16105,8
2025-07-14,"ELE-0070","Monitor",105217,10
2025-07-15,"ELE-0036","Smartwatch",46307,9
2025-07-15,"ELE-0040","Smartwatch",86355,12
2025-07-15,"ELE-0010","Router",27156,15
2025-07-15,"ELE-0109","Tablet",85353,3
2025-07-17,"ELE-0119","Charger",93399,8
2025-07-17,"ELE-0102","Power",108393,10
2025-07-19,"ELE-0034","Smartphone",80579,6
2025-07-20,"ELE-0055","Cable",146950,14
2025-07-20,"ELE-0117","Headphones",104020,11
2025-07-24,"ELE-0092","Headphones",133850,13
2025-07-25,"ELE-0135","Router",119336,9
2025-07-26,"ELE-0099","Cable",60914,6
2025-07-26,"ELE-0107","Charger",85113,9
2025-07-28,"ELE-0098","Earbuds",539,13
2025-07-28,"ELE-0063","Keyboard",66948,13
2025-07-29,"ELE-0006","Smartphone",47459,14
2025-07-30,"ELE-0055","Cable",146950,11
2025-07-30,"ELE-0007","Keyboard",139848,8
2025-08-01,"ELE-0045","Headphones",2636,15
2025-08-02,"ELE-0067","Charger",121166,13
2025-08-02,"ELE-0030","Charger",15133,3
2025-08-04,"ELE-0089","Cable",68613,8
2025-08-05,"ELE-0081","Mouse",1692,10
2025-08-05,"ELE-0041","Camera",81822,2
2025-08-05,"ELE-0122","Charger",71944,13
2025-08-05,"ELE-0026","Smartphone",81857,10
2025-08-05,"ELE-0014","Router",125920,9
2025-08-06,"ELE-0122","Charger",71944,2
2025-08-06,"ELE-0109","Tablet",85353,13
2025-08-07,"ELE-0070","Monitor",105217,11
2025-08-07,"ELE-0139","Tablet",37508,11
2025-08-07,"ELE-0139","Tablet",37508,15
2025-08-08,"ELE-0147","Keyboard",30307,10
2025-08-09,"ELE-0035","Power",144433,1
2025-08-10,"ELE-0041","Camera",81822,13
2025-08-11,"ELE-0106","Cable",112457,10
2025-08-12,"ELE-0101","Camera",146893,13
2025-08-14,"ELE-0002","Cable",54224,13
2025-08-14,"ELE-0045","Headphones",2636,9
2025-08-15,"ELE-0093","Monitor",81746,15
2025-08-15,"ELE-0139","Tablet",37508,6
2025-08-17,"ELE-0084","Smartphone",124033,12
2025-08-21,"ELE-0003","Camera",144762,4
2025-08-21,"ELE-0094","Power",16578,4
2025-08-22,"ELE-0052","Power",91050,10
2025-08-22,"ELE-0049","Smartphone",13979,8
2025-08-23,"ELE-0134","Mouse",1402,9
2025-08-23,"ELE-0023","Smartwatch",125339,8
2025-08-24,"ELE-0012","Monitor",93351,5
2025-08-25,"ELE-0073","Keyboard",113384,7
2025-08-26,"ELE-0077","Router",128746,11
2025-08-26,"ELE-0119","Charger",93399,10
2025-08-29,"ELE-0146","Headphones",148826,3
2025-08-31,"ELE-0110","Camera",17588,7
2025-09-03,"ELE-0038","Charger",75476,5
2025-09-03,"ELE-0126","Router",16105,14
2025-09-04,"ELE-0080","Headphones",98304,13
2025-09-04,"ELE-0028","Laptop",124655,7
2025-09-07,"ELE-0013","Laptop",79209,10
2025-09-08,"ELE-0111","Headphones",93611,13
2025-09-08,"ELE-0024","Camera",128460,6
2025-09-09,"ELE-0053","Speaker",26061,5
2025-09-10,"ELE-0015","Earbuds",119749,1
2025-09-10,"ELE-0101","Camera",146893,2
2025-09-10,"ELE-0074","Earbuds",87411,2
2025-09-10,"ELE-0073","Keyboard",113384,3
2025-09-11,"ELE-0119","Charger",93399,3
2025-09-12,"ELE-0022","Camera",120011,3
2025-09-13,"ELE-0023","Smartwatch",125339,3
2025-09-13,"ELE-0137","Power",10829,3
2025-09-13,"ELE-0146","Headphones",148826,2
2025-09-13,"ELE-0035","Power",144433,3
2025-09-14,"ELE-0013","Laptop",79209,3
2025-09-14,"ELE-0044","Earbuds",106892,1
2025-09-15,"ELE-0019","Earbuds",125119,15
2025-09-17,"ELE-0073","Keyboard",113384,5
2025-09-17,"ELE-0016","Keyboard",77353,5
2025-09-17,"ELE-0031","Smartphone",107149,10
2025-09-18,"ELE-0006","Smartphone",47459,15
2025-09-19,"ELE-0150","Headphones",99609,13
2025-09-19,"ELE-0008","Tablet",91868,7
2025-09-20,"ELE-0057","Mouse",12659,3
2025-09-21,"ELE-0020","Monitor",23223,12
2025-09-21,"ELE-0049","Smartphone",13979,11
2025-09-21,"ELE-0003","Camera",144762,4
2025-09-21,"ELE-0008","Tablet",91868,8
2025-09-23,"ELE-0048","Keyboard",111254,2
2025-09-24,"ELE-0075","Mouse",119009,11
2025-09-25,"ELE-0087","Headphones",108740,8
2025-09-25,"ELE-0109","Tablet",85353,13
2025-09-26,"ELE-0032","Mouse",41516,9
2025-09-27,"ELE-0028","Laptop",124655,11
2025-09-29,"ELE-0075","Mouse",119009,2
2025-09-29,"ELE-0125","Monitor",84240,1
2025-09-30,"ELE-0094","Power",16578,13
2025-10-03,"ELE-0072","Speaker",114323,6
2025-10-04,"ELE-0118","Tablet",106112,4
2025-10-04,"ELE-0066","Mouse",32282,2
2025-10-05,"ELE-0046","Smartphone",76243,9
2025-10-05,"ELE-0038","Charger",75476,8
2025-10-05,"ELE-0007","Keyboard",139848,14
2025-10-06,"ELE-0049","Smartphone",13979,8
2025-10-07,"ELE-0105","Smartwatch",9913,1
2025-10-07,"ELE-0012","Monitor",93351,5
2025-10-07,"ELE-0018","Power",108180,6
2025-10-07,"ELE-0004","Tablet",79575,13
2025-10-08,"ELE-0077","Router",128746,4
2025-10-09,"ELE-0087","Headphones",108740,15
2025-10-10,"ELE-0086","Router",136860,4
2025-10-11,"ELE-0082","Earbuds",60389,3
2025-10-11,"ELE-0144","Speaker",128408,3
2025-10-12,"ELE-0122","Charger",71944,1
2025-10-12,"ELE-0043","Tablet",112852,13
2025-10-12,"ELE-0060","Charger",120499,5
2025-10-13,"ELE-0048","Keyboard",111254,6
2025-10-15,"ELE-0076","Smartwatch",135950,5
2025-10-15,"ELE-0047","Power",75080,5
2025-10-16,"ELE-0143","Power",43626,7
2025-10-17,"ELE-0040","Smartwatch",86355,10
2025-10-19,"ELE-0117","Headphones",104020,15
2025-10-19,"ELE-0088","Speaker",142081,9
2025-10-21,"ELE-0042","Cable",32965,7
2025-10-21,"ELE-0025","Earbuds",36073,1
2025-10-22,"ELE-0078","Camera",63124,2
2025-10-23,"ELE-0131","Mouse",18990,1
2025-10-23,"ELE-0013","Laptop",79209,11
2025-10-24,"ELE-0127","Smartwatch",57796,1
2025-10-24,"ELE-0066","Mouse",32282,14
2025-10-25,"ELE-0030","Charger",15133,1
2025-10-25,"ELE-0075","Mouse",119009,1
2025-10-27,"ELE-0023","Smartwatch",125339,14
2025-10-27,"ELE-0034","Smartphone",80579,14
2025-10-27,"ELE-0033","Monitor",25866,9
2025-10-27,"ELE-0016","Keyboard",77353,8
2025-10-27,"ELE-0058","Keyboard",131630,2
2025-10-28,"ELE-0011","Earbuds",126107,10
2025-10-28,"ELE-0055","Cable",146950,10
2025-10-29,"ELE-0061","Smartphone",2345,15
2025-10-30,"ELE-0138","Headphones",20827,1
2025-10-30,"ELE-0031","Smartphone",107149,15
2025-10-30,"ELE-0063","Keyboard",66948,7
2025-10-31,"ELE-0114","Earbuds",17795,3
2025-10-31,"ELE-0113","Smartphone",125949,11
2025-11-02,"ELE-0107","Charger",85113,9
2025-11-03,"ELE-0137","Power",10829,14
2025-11-04,"ELE-0118","Tablet",106112,15
2025-11-04,"ELE-0044","Earbuds",106892,12
2025-11-04,"ELE-0126","Router",16105,3
2025-11-05,"ELE-0013","Laptop",79209,9
2025-11-05,"ELE-0098","Earbuds",539,11
2025-11-07,"ELE-0025","Earbuds",36073,11
2025-11-07,"ELE-0146","Headphones",148826,6
2025-11-07,"ELE-0119","Charger",93399,3
2025-11-07,"ELE-0125","Monitor",84240,13
2025-11-10,"ELE-0138","Headphones",20827,7
2025-11-11,"ELE-0018","Power",108180,6
2025-11-12,"ELE-0043","Tablet",112852,5
2025-11-13,"ELE-0146","Headphones",148826,4
2025-11-15,"ELE-0150","Headphones",99609,6
2025-11-15,"ELE-0074","Earbuds",87411,10
2025-11-17,"ELE-0052","Power",91050,5
2025-11-17,"ELE-0117","Headphones",104020,12
2025-11-17,"ELE-0014","Router",125920,12
2025-11-17,"ELE-0102","Power",108393,5
2025-11-17,"ELE-0085","Cable",143371,6
2025-11-18,"ELE-0051","Laptop",80062,6
2025-11-18,"ELE-0020","Monitor",23223,1
2025-11-18,"ELE-0072","Speaker",114323,1
2025-11-19,"ELE-0068","Power",119353,15
2025-11-20,"ELE-0150","Headphones",99609,8
2025-11-20,"ELE-0140","Smartwatch",101513,15
2025-11-20,"ELE-0078","Camera",63124,8
2025-11-21,"ELE-0051","Laptop",80062,8
2025-11-22,"ELE-0029","Cable",101082,14
2025-11-25,"ELE-0090","Smartphone",66742,5
2025-11-26,"ELE-0036","Smartwatch",46307,4
2025-11-26,"ELE-0139","Tablet",37508,8
2025-11-26,"ELE-0080","Headphones",98304,9
2025-11-27,"ELE-0008","Tablet",91868,14
2025-11-27,"ELE-0107","Charger",85113,8
2025-11-27,"ELE-0027","Monitor",148792,2
2025-11-27,"ELE-0072","Speaker",114323,5
2025-11-28,"ELE-0096","Headphones",138597,5
2025-11-30,"ELE-0034","Smartphone",80579,6
2025-12-03,"ELE-0116","Charger",110943,8
2025-12-04,"ELE-0112","Monitor",22156,9
2025-12-04,"ELE-0052","Power",91050,2
2025-12-05,"ELE-0046","Smartphone",76243,2
2025-12-05,"ELE-0025","Earbuds",36073,6
2025-12-06,"ELE-0143","Power",43626,12
2025-12-06,"ELE-0089","Cable",68613,8
2025-12-08,"ELE-0114","Earbuds",17795,5
2025-12-09,"ELE-0109","Tablet",85353,8
2025-12-10,"ELE-0080","Headphones",98304,7
2025-12-12,"ELE-0019","Earbuds",125119,1
2025-12-13,"ELE-0118","Tablet",106112,12
2025-12-13,"ELE-0024","Camera",128460,13
2025-12-14,"ELE-0074","Earbuds",87411,1
2025-12-19,"ELE-0078","Camera",63124,9
2025-12-19,"ELE-0137","Power",10829,5
2025-12-19,"ELE-0102","Power",108393,2
2025-12-20,"ELE-0133","Monitor",47853,9
2025-12-21,"ELE-0087","Headphones",108740,7
2025-12-21,"ELE-0142","Power",94578,9
2025-12-21,"ELE-0074","Earbuds",87411,1
2025-12-22,"ELE-0001","Smartphone",4929,11
2025-12-22,"ELE-0116","Charger",110943,5
2025-12-23,"ELE-0061","Smartphone",2345,15
2025-12-24,"ELE-0116","Charger",110943,8
2025-12-24,"ELE-0020","Monitor",23223,13
2025-12-24,"ELE-0017","Keyboard",7892,9
2025-12-25,"ELE-0006","Smartphone",47459,9
2025-12-26,"ELE-0077","Router",128746,5
2025-12-27,"ELE-0010","Router",27156,12
2025-12-28,"ELE-0058","Keyboard",131630,12
2025-12-28,"ELE-0008","Tablet",91868,2
2025-12-29,"ELE-0143","Power",43626,8
2025-12-29,"ELE-0078","Camera",63124,9
2025-12-31,"ELE-0091","Camera",13453,6
2026-01-01,"ELE-0051","Laptop",80062,15
2026-01-02,"ELE-0134","Mouse",1402,5
2026-01-02,"ELE-0104","Smartwatch",129186,10
2026-01-02,"ELE-0142","Power",94578,2
2026-01-03,"ELE-0086","Router",136860,6
2026-01-03,"ELE-0009","Speaker",65719,15
2026-01-04,"ELE-0032","Mouse",41516,1
2026-01-04,"ELE-0022","Camera",120011,12
2026-01-04,"ELE-0005","Keyboard",53052,12
2026-01-04,"ELE-0018","Power",108180,14
2026-01-05,"ELE-0005","Keyboard",53052,11
2026-01-06,"ELE-0147","Keyboard",30307,9
2026-01-08,"ELE-0031","Smartphone",107149,7
2026-01-08,"ELE-0131","Mouse",18990,11
2026-01-09,"ELE-0139","Tablet",37508,1
2026-01-10,"ELE-0059","Earbuds",77446,9
2026-01-10,"ELE-0018","Power",108180,6
2026-01-11,"ELE-0038","Charger",75476,1
2026-01-11,"ELE-0141","Charger",111693,11
2026-01-11,"ELE-0023","Smartwatch",125339,14
2026-01-16,"ELE-0130","Earbuds",34320,12
2026-01-16,"ELE-0141","Charger",111693,12
2026-01-17,"ELE-0066","Mouse",32282,4
2026-01-17,"ELE-0017","Keyboard",7892,5
2026-01-19,"ELE-0052","Power",91050,5
2026-01-20,"ELE-0139","Tablet",37508,8
2026-01-22,"ELE-0127","Smartwatch",57796,8
2026-01-23,"ELE-0076","Smartwatch",135950,4
2026-01-23,"ELE-0028","Laptop",124655,8
2026-01-24,"ELE-0009","Speaker",65719,3
2026-01-24,"ELE-0073","Keyboard",113384,2
2026-01-27,"ELE-0032","Mouse",41516,7
2026-01-28,"ELE-0091","Camera",13453,13
2026-01-28,"ELE-0038","Charger",75476,5
2026-01-29,"ELE-0076","Smartwatch",135950,7
2026-01-29,"ELE-0030","Charger",15133,8
2026-01-29,"ELE-0136","Tablet",90067,10
2026-01-30,"ELE-0132","Smartwatch",63413,15
2026-02-01,"ELE-0085","Cable",143371,7
2026-02-01,"ELE-0055","Cable",146950,13
2026-02-04,"ELE-0019","Earbuds",125119,13
2026-02-05,"ELE-0091","Camera",13453,10
2026-02-07,"ELE-0062","Monitor",132816,1
2026-02-07,"ELE-0132","Smartwatch",63413,12
2026-02-07,"ELE-0109","Tablet",85353,2
2026-02-08,"ELE-0094","Power",16578,3
2026-02-08,"ELE-0072","Speaker",114323,12
2026-02-08,"ELE-0143","Power",43626,15
2026-02-09,"ELE-0025","Earbuds",36073,3
2026-02-09,"ELE-0036","Smartwatch",46307,6
2026-02-12,"ELE-0140","Smartwatch",101513,5
2026-02-13,"ELE-0033","Monitor",25866,3
2026-02-17,"ELE-0122","Charger",71944,7
2026-02-18,"ELE-0042","Cable",32965,5
2026-02-19,"ELE-0032","Mouse",41516,15
2026-02-19,"ELE-0058","Keyboard",131630,5
2026-02-20,"ELE-0052","Power",91050,9
2026-02-20,"ELE-0050","Monitor",23494,10
2026-02-20,"ELE-0079","Speaker",140924,1
2026-02-20,"ELE-0041","Camera",81822,2
2026-02-22,"ELE-0116","Charger",110943,4
2026-02-24,"ELE-0042","Cable",32965,6
2026-02-25,"ELE-0051","Laptop",80062,1
2026-02-26,"ELE-0057","Mouse",12659,8
2026-02-27,"ELE-0035","Power",144433,2
2026-02-27,"ELE-0092","Headphones",133850,1
2026-03-01,"ELE-0043","Tablet",112852,7
2026-03-02,"ELE-0081","Mouse",1692,9
2026-03-03,"ELE-0141","Charger",111693,12
2026-03-04,"ELE-0148","Camera",6728,3
2026-03-04,"ELE-0122","Charger",71944,13
2026-03-06,"ELE-0106","Cable",112457,9
2026-03-06,"ELE-0063","Keyboard",66948,14
2026-03-09,"ELE-0123","Keyboard",53504,9
2026-03-09,"ELE-0014","Router",125920,11
2026-03-09,"ELE-0114","Earbuds",17795,13
2026-03-11,"ELE-0137","Power",10829,10
2026-03-11,"ELE-0052","Power",91050,13
2026-03-12,"ELE-0095","Camera",130279,8
2026-03-13,"ELE-0050","Monitor",23494,13
2026-03-13,"ELE-0138","Headphones",20827,12
2026-03-15,"ELE-0121","Mouse",48061,7
2026-03-16,"ELE-0086","Router",136860,10
2026-03-16,"ELE-0119","Charger",93399,14
2026-03-18,"ELE-0112","Monitor",22156,12
2026-03-20,"ELE-0100","Tablet",116312,10
2026-03-21,"ELE-0030","Charger",15133,7
2026-03-23,"ELE-0025","Earbuds",36073,7
2026-03-23,"ELE-0118","Tablet",106112,12
2026-03-24,"ELE-0058","Keyboard",131630,9
2026-03-24,"ELE-0045","Headphones",2636,15
2026-03-26,"ELE-0030","Charger",15133,14
2026-03-27,"ELE-0128","Monitor",87933,9
2026-03-27,"ELE-0083","Cable",104629,15
2026-03-29,"ELE-0006","Smartphone",47459,12
2026-03-30,"ELE-0016","Keyboard",77353,10
2026-03-31,"ELE-0140","Smartwatch",101513,5
2026-03-31,"ELE-0146","Headphones",148826,11
2026-04-01,"ELE-0098","Earbuds",539,8
2026-04-02,"ELE-0011","Earbuds",126107,2
2026-04-02,"ELE-0101","Camera",146893,8
2026-04-02,"ELE-0010","Router",27156,1
2026-04-04,"ELE-0082","Earbuds",60389,3
2026-04-04,"ELE-0015","Earbuds",119749,5
2026-04-05,"ELE-0142","Power",94578,13
2026-04-05,"ELE-0031","Smartphone",107149,3
2026-04-07,"ELE-0079","Speaker",140924,1
2026-04-07,"ELE-0099","Cable",60914,15
2026-04-08,"ELE-0022","Camera",120011,1
2026-04-09,"ELE-0022","Camera",120011,12
2026-04-11,"ELE-0013","Laptop",79209,2
2026-04-11,"ELE-0008","Tablet",91868,15
2026-04-12,"ELE-0065","Monitor",81720,4
2026-04-12,"ELE-0105","Smartwatch",9913,5
2026-04-13,"ELE-0056","Smartphone",146999,7
2026-04-15,"ELE-0088","Speaker",142081,11
2026-04-15,"ELE-0110","Camera",17588,8
2026-04-16,"ELE-0006","Smartphone",47459,10
2026-04-16,"ELE-0130","Earbuds",34320,13
2026-04-17,"ELE-0039","Router",40497,6
2026-04-17,"ELE-0146","Headphones",148826,2
2026-04-18,"ELE-0150","Headphones",99609,6
2026-04-19,"ELE-0032","Mouse",41516,9
2026-04-19,"ELE-0081","Mouse",1692,9
2026-04-19,"ELE-0027","Monitor",148792,10
2026-04-20,"ELE-0025","Earbuds",36073,14
2026-04-20,"ELE-0097","Laptop",72606,13
