id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"GRO-0021","Radhuni Butter 21","Butter",349,"kg",334,46,"B-9026","2028-09-20","",""
"GRO-0022","Maggi Lentils 83","Lentils",397,"pcs",1314,49,"B-9144","2028-02-28","",""
"GRO-0023","Pran Spices 9","Spices",323,"liter",342,41,"B-7628","2027-12-01","",""
"GRO-0024","Pusti Butter 87","Butter",234,"liter",1404,43,"B-7399","2027-07-26","",""
"GRO-0025","Rupchanda Eggs 1","Eggs",40,"kg",1432,49,"B-6904","2027-10-31","",""
"GRO-0026","Radhuni Milk 35","Milk",242,"dozen",501,10,"B-8501","2028-06-21","",""
"GRO-0027","Fresh Potato 93","Potato",278,"pcs",1146,29,"B-7562","2028-09-14","",""
"GRO-0028","Teer Noodles 94","Noodles",311,"liter",1393,18,"B-3241","2026-12-30","",""
"GRO-0029","Radhuni Rice 30","Rice",482,"kg",465,35,"B-2780","2027-12-14","",""
"GRO-0030","Teer Cheese 72","Cheese",261,"pcs",443,35,"B-1266","2026-08-18","",""
"GRO-0031","Teer Biscuits 50","Biscuits",121,"kg",1113,49,"B-5092","2026-11-28","",""
"GRO-0032","Ispahani Ginger 95","Ginger",292,"dozen",607,12,"B-9321","2027-11-13","",""
"GRO-0033","Maggi Lentils 58","Lentils",438,"dozen",165,41,"B-9568","2026-12-07","",""
"GRO-0034","Pusti Milk 97","Milk",247,"liter",487,47,"B-2888","2027-12-30","",""
"GRO-0035","Ispahani Oil 3","Oil",83,"kg",1300,25,"B-6988","2026-10-01","",""
"GRO-0036","Rupchanda Flour 45","Flour",389,"liter",864,36,"B-8515","2028-05-04","",""
"GRO-0037","Rupchanda Tea 53","Tea",387,"liter",612,40,"B-1180","2027-08-25","",""
"GRO-0038","Aarong Butter 42","Butter",41,"liter",940,41,"B-3660","2027-09-01","",""
"GRO-0039","Ispahani Sugar 20","Sugar",353,"liter",815,27,"B-3218","2027-07-11","",""
"GRO-0040","Teer Milk 51","Milk",286,"kg",873,10,"B-8064","2028-11-14","",""
"GRO-0041","Maggi Lentils 43","Lentils",151,"dozen",1156,13,"B-5895","2028-01-20","",""
"GRO-0042","Bombay Sweets Potato 39","Potato",288,"dozen",584,43,"B-4948","2026-12-11","",""
"GRO-0043","Maggi Onion 10","Onion",312,"dozen",374,12,"B-2623","2027-05-20","",""
"GRO-0044","Bombay Sweets Onion 39","Onion",466,"kg",381,40,"B-5879","2027-06-15","",""
"GRO-0045","Bombay Sweets Biscuits 84","Biscuits",276,"pcs",559,47,"B-8445","2027-11-18","",""
"GRO-0046","Maggi Cheese 55","Cheese",245,"liter",1270,49,"B-6817","2028-10-16","",""
"GRO-0047","Fresh Onion 7","Onion",253,"dozen",1410,32,"B-2306","2028-08-16","",""
"GRO-0048","Pusti Ginger 44","Ginger",87,"pcs",1319,32,"B-8735","2027-07-11","",""
"GRO-0049","Radhuni Lentils 82","Lentils",105,"pcs",1191,47,"B-8490","2026-08-19","",""
"GRO-0050","Maggi Potato 83","Potato",115,"dozen",689,38,"B-7571","2028-08-13","",""
"GRO-0051","Rupchanda Lentils 75","Lentils",304,"kg",216,44,"B-9624","2027-07-27","",""
"GRO-0052","Fresh Garlic 76","Garlic",432,"dozen",936,23,"B-2670","2028-02-28","",""
"GRO-0053","Radhuni Milk 68","Milk",30,"pcs",128,18,"B-1686","2028-10-18","",""
"GRO-0054","Bombay Sweets Biscuits 36","Biscuits",231,"liter",1285,24,"B-8384","2027-02-08","",""
"GRO-0055","Fresh Milk 62","Milk",385,"liter",1309,29,"B-4638","2027-11-16","",""
"GRO-0056","Radhuni Lentils 29","Lentils",477,"kg",881,24,"B-7875","2028-04-30","",""
"GRO-0057","Rupchanda Sugar 44","Sugar",81,"kg",1033,34,"B-1401","2026-07-12","",""
"GRO-0058","Pran Rice 34","Rice",290,"dozen",230,26,"B-8884","2027-11-28","",""
"GRO-0059","Radhuni Eggs 78","Eggs",174,"kg",765,31,"B-5447","2027-09-03","",""
"GRO-0060","Teer Sugar 63","Sugar",472,"pcs",969,17,"B-2180","2026-10-26","",""
"GRO-0061","Bombay Sweets Potato 34","Potato",170,"liter",1391,22,"B-2690","2027-06-18","",""
"GRO-0062","Aarong Ginger 77","Ginger",133,"kg",243,6,"B-1364","2027-04-07","",""
"GRO-0063","Aarong Milk 25","Milk",482,"liter",1185,39,"B-9006","2027-10-25","",""
"GRO-0064","Pran Tea 68","Tea",147,"kg",671,34,"B-8428","2027-05-14","",""
"GRO-0065","Pusti Garlic 14","Garlic",415,"kg",534,48,"B-4261","2026-08-16","",""
"GRO-0066","Aarong Cheese 55","Cheese",65,"dozen",194,42,"B-8616","2027-11-25","",""
"GRO-0067","Rupchanda Butter 1","Butter",377,"liter",454,33,"B-2885","2027-03-11","",""
"GRO-0068","Aarong Garlic 74","Garlic",378,"liter",717,44,"B-7246","2027-10-29","",""
"GRO-0069","Pusti Milk 5","Milk",232,"kg",1362,11,"B-4025","2028-09-29","",""
"GRO-0070","Aarong Biscuits 2","Biscuits",165,"liter",168,27,"B-9971","2028-09-07","",""
"GRO-0071","Aarong Rice 83","Rice",227,"kg",986,15,"B-8574","2026-07-03","",""
"GRO-0072","Ispahani Salt 23","Salt",248,"dozen",1448,40,"B-4651","2028-04-21","",""
"GRO-0073","Fresh Bread 74","Bread",191,"kg",850,46,"B-6390","2028-08-11","",""
"GRO-0074","Fresh Noodles 92","Noodles",33,"kg",992,7,"B-4889","2026-11-28","",""
"GRO-0075","Pran Eggs 17","Eggs",398,"dozen",1479,10,"B-6053","2028-10-25","",""
"GRO-0076","Pran Butter 38","Butter",447,"dozen",365,42,"B-9584","2026-11-05","",""
"GRO-0077","Ispahani Cheese 20","Cheese",488,"pcs",115,17,"B-9802","2027-12-23","",""
"GRO-0078","Pran Eggs 76","Eggs",236,"liter",326,29,"B-1316","2027-09-21","",""
"GRO-0079","Teer Sugar 59","Sugar",237,"kg",1481,11,"B-5341","2028-01-30","",""
"GRO-0080","Ispahani Oil 8","Oil",215,"dozen",1173,23,"B-5786","2026-11-18","",""
"GRO-0081","Aarong Potato 17","Potato",251,"kg",840,44,"B-7652","2028-05-03","",""
"GRO-0082","Ispahani Chili 99","Chili",42,"kg",543,13,"B-7235","2028-05-18","",""
"GRO-0083","Aarong Milk 87","Milk",11,"pcs",1323,14,"B-6512","2027-01-19","",""
"GRO-0084","Fresh Eggs 59","Eggs",175,"liter",313,45,"B-4651","2028-09-10","",""
"GRO-0085","Teer Flour 67","Flour",291,"liter",377,14,"B-6427","2028-06-08","",""
"GRO-0086","Rupchanda Tea 50","Tea",232,"dozen",1261,22,"B-6968","2028-06-24","",""
"GRO-0087","Fresh Sugar 35","Sugar",208,"liter",157,43,"B-4631","2026-12-30","",""
"GRO-0088","Rupchanda Spices 56","Spices",371,"dozen",545,22,"B-7343","2028-03-22","",""
"GRO-0089","Fresh Lentils 48","Lentils",348,"kg",1385,27,"B-9520","2027-05-02","",""
"GRO-0090","Ispahani Lentils 98","Lentils",49,"liter",1255,42,"B-7077","2027-10-08","",""
"GRO-0091","Fresh Eggs 82","Eggs",158,"dozen",1315,10,"B-1830","2028-03-31","",""
"GRO-0092","Aarong Butter 91","Butter",493,"pcs",952,19,"B-5816","2026-07-05","",""
"GRO-0093","Teer Salt 92","Salt",258,"dozen",1045,23,"B-2681","2028-06-17","",""
"GRO-0094","Rupchanda Chili 60","Chili",288,"liter",1426,18,"B-5178","2028-09-24","",""
"GRO-0095","Pusti Tea 13","Tea",92,"pcs",1214,45,"B-8514","2028-03-19","",""
"GRO-0096","Rupchanda Eggs 88","Eggs",331,"dozen",1044,16,"B-3769","2028-08-05","",""
"GRO-0097","Aarong Garlic 41","Garlic",112,"pcs",214,42,"B-7036","2028-07-23","",""
"GRO-0098","Fresh Spices 18","Spices",363,"pcs",1373,10,"B-7536","2028-09-23","",""
"GRO-0099","Pusti Ginger 37","Ginger",327,"kg",904,5,"B-5858","2028-02-14","",""
"GRO-0100","Radhuni Bread 54","Bread",210,"dozen",1130,45,"B-4398","2026-10-07","",""
"GRO-0101","Maggi Onion 91","Onion",339,"kg",501,13,"B-1721","2027-05-06","",""
"GRO-0102","Bombay Sweets Rice 33","Rice",169,"pcs",266,6,"B-5659","2026-12-02","",""
"GRO-0103","Pran Milk 17","Milk",391,"pcs",596,41,"B-9758","2027-10-25","",""
"GRO-0104","Fresh Tea 86","Tea",75,"pcs",417,36,"B-2992","2026-10-27","",""
"GRO-0105","Aarong Oil 30","Oil",487,"pcs",1234,40,"B-3906","2028-07-10","",""
"GRO-0106","Fresh Butter 57","Butter",475,"pcs",299,46,"B-7434","2026-08-10","",""
"GRO-0107","Ispahani Onion 19","Onion",350,"pcs",1280,19,"B-5166","2027-11-20","",""
"GRO-0108","Teer Potato 65","Potato",254,"liter",960,23,"B-7917","2027-12-14","",""
"GRO-0109","Rupchanda Spices 5","Spices",36,"kg",140,41,"B-1474","2028-10-10","",""
"GRO-0110","Rupchanda Bread 75","Bread",491,"kg",1320,44,"B-6882","2028-07-01","",""
"GRO-0111","Bombay Sweets Milk 56","Milk",302,"kg",708,42,"B-7082","2027-11-11","",""
"GRO-0112","Rupchanda Oil 30","Oil",187,"kg",350,32,"B-9758","2027-02-11","",""
"GRO-0113","Ispahani Tea 25","Tea",44,"pcs",288,26,"B-7979","2026-07-03","",""
"GRO-0114","Fresh Noodles 59","Noodles",82,"pcs",578,40,"B-4821","2027-02-06","",""
"GRO-0115","Ispahani Sugar 62","Sugar",270,"pcs",1321,23,"B-8655","2027-01-01","",""
"GRO-0116","Aarong Butter 84","Butter",430,"pcs",624,43,"B-7686","2026-12-29","",""
"GRO-0117","Maggi Ginger 43","Ginger",272,"dozen",999,10,"B-3319","2027-01-19","",""
"GRO-0118","Radhuni Salt 99","Salt",300,"dozen",452,48,"B-1051","2028-04-18","",""
"GRO-0119","Maggi Eggs 43","Eggs",22,"liter",120,40,"B-9000","2026-12-12","",""
"GRO-0120","Aarong Sugar 68","Sugar",356,"kg",850,35,"B-7028","2026-09-22","",""
"GRO-0121","Radhuni Eggs 53","Eggs",98,"pcs",1217,39,"B-4807","2026-12-25","",""
"GRO-0122","Bombay Sweets Chili 47","Chili",298,"kg",542,40,"B-7971","2026-08-14","",""
"GRO-0123","Ispahani Potato 27","Potato",338,"kg",100,43,"B-8072","2026-07-17","",""
"GRO-0124","Teer Ginger 64","Ginger",129,"liter",1305,6,"B-9239","2026-09-08","",""
"GRO-0125","Bombay Sweets Spices 95","Spices",21,"kg",1278,27,"B-1791","2027-11-08","",""
"GRO-0126","Ispahani Lentils 38","Lentils",295,"dozen",917,48,"B-9874","2028-04-29","",""
"GRO-0127","Bombay Sweets Biscuits 12","Biscuits",127,"dozen",830,11,"B-2615","2026-07-08","",""
"GRO-0128","Teer Tea 56","Tea",196,"liter",1064,48,"B-4653","2026-09-16","",""
"GRO-0129","Fresh Biscuits 50","Biscuits",321,"dozen",1329,30,"B-7912","2027-01-16","",""
"GRO-0130","Fresh Eggs 25","Eggs",146,"pcs",859,39,"B-9018","2028-03-17","",""
"GRO-0131","Rupchanda Butter 15","Butter",367,"kg",700,42,"B-1828","2028-06-06","",""
"GRO-0132","Aarong Onion 76","Onion",465,"liter",1063,43,"B-3434","2028-05-13","",""
"GRO-0133","Bombay Sweets Potato 56","Potato",368,"pcs",274,44,"B-3773","2028-10-18","",""
"GRO-0134","Fresh Ginger 95","Ginger",460,"liter",1180,38,"B-3217","2028-05-24","",""
"GRO-0135","Fresh Noodles 35","Noodles",183,"pcs",941,34,"B-8261","2028-09-03","",""
"GRO-0136","Aarong Bread 96","Bread",407,"liter",403,11,"B-2178","2026-12-06","",""
"GRO-0137","Aarong Spices 29","Spices",325,"liter",860,46,"B-1530","2027-05-07","",""
"GRO-0138","Aarong Chili 41","Chili",175,"dozen",532,45,"B-6505","2027-02-18","",""
"GRO-0139","Radhuni Salt 64","Salt",279,"dozen",342,43,"B-5323","2027-06-20","",""
"GRO-0140","Pran Chili 39","Chili",27,"dozen",865,11,"B-8724","2027-02-09","",""
"GRO-0141","Bombay Sweets Ginger 26","Ginger",298,"dozen",702,34,"B-6329","2026-07-30","",""
"GRO-0142","Fresh Bread 82","Bread",268,"dozen",810,16,"B-2752","2026-12-13","",""
"GRO-0143","Aarong Bread 24","Bread",343,"liter",1178,9,"B-7657","2027-03-12","",""
"GRO-0144","Bombay Sweets Tea 76","Tea",299,"dozen",876,39,"B-9502","2027-11-17","",""
"GRO-0145","Teer Spices 4","Spices",62,"pcs",898,28,"B-8860","2028-09-12","",""
"GRO-0146","Bombay Sweets Bread 44","Bread",164,"pcs",837,50,"B-2921","2027-12-10","",""
"GRO-0147","Teer Spices 80","Spices",251,"kg",678,47,"B-5842","2028-11-28","",""
"GRO-0148","Ispahani Garlic 27","Garlic",324,"kg",437,44,"B-3260","2026-08-16","",""
"GRO-0149","Teer Ginger 28","Ginger",127,"liter",1429,31,"B-3434","2028-12-07","",""
"GRO-0150","Pusti Sugar 30","Sugar",12,"dozen",62,26,"B-8100","2028-11-18","",""
