id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"FAS-0022","Levis Jacket 67","Jacket",484,"pcs",2570,29,"B-5419","","L","White"
"FAS-0023","Armani Socks 63","Socks",241,"pcs",2193,44,"B-3823","","L","Black"
"FAS-0024","Apex Shirt 55","Shirt",301,"pcs",5166,16,"B-3630","","M","Red"
"FAS-0025","H&M Skirt 59","Skirt",198,"pcs",13670,30,"B-8329","","XL","Black"
"FAS-0026","Gucci Sunglasses 60","Sunglasses",44,"pcs",4605,26,"B-4726","","L","Black"
"FAS-0027","H&M Wallet 79","Wallet",417,"pcs",4967,17,"B-9472","","L","Blue"
"FAS-0028","Bata Cap 59","Cap",54,"pcs",6725,31,"B-2962","","M","Black"
"FAS-0029","Levis Hoodie 53","Hoodie",160,"pcs",692,7,"B-6890","","M","Black"
"FAS-0030","Adidas Belt 24","Belt",422,"pcs",3664,40,"B-9750","","M","Blue"
"FAS-0031","Bata Sunglasses 34","Sunglasses",367,"pcs",13097,26,"B-9758","","XL","Blue"
"FAS-0032","Zara Socks 23","Socks",476,"pcs",4179,29,"B-5646","","XL","White"
"FAS-0033","Levis Belt 59","Belt",450,"pcs",10713,19,"B-6721","","M","Black"
"FAS-0034","Armani Shirt 89","Shirt",59,"pcs",11332,17,"B-2980","","L","Black"
"FAS-0035","Apex Shirt 44","Shirt",374,"pcs",8068,50,"B-8608","","XL","Black"
"FAS-0036","Zara Jacket 34","Jacket",362,"pcs",6909,29,"B-4003","","L","Red"
"FAS-0037","Bata T-Shirt 18","T-Shirt",462,"pcs",13230,31,"B-4731","","S","Black"
"FAS-0038","Armani Watch 1","Watch",67,"pcs",3686,43,"B-4898","","M","Black"
"FAS-0039","Nike Sunglasses 92","Sunglasses",230,"pcs",14183,8,"B-2430","","XL","Red"
"FAS-0040","Gucci Jacket 63","Jacket",409,"pcs",911,49,"B-2305","","L","White"
"FAS-0041","Polo Belt 91","Belt",239,"pcs",8775,8,"B-3475","","M","Blue"
"FAS-0042","Bata Skirt 57","Skirt",143,"pcs",419,6,"B-9299","","M","Red"
"FAS-0043","Polo Sneakers 34","Sneakers",278,"pcs",5409,11,"B-5451","","L","Red"
"FAS-0044","Levis Scarf 25","Scarf",183,"pcs",1265,32,"B-3050","","L","Red"
"FAS-0045","Zara Belt 75","Belt",433,"pcs",12549,45,"B-7026","","M","Black"
"FAS-0046","Nike Belt 92","Belt",176,"pcs",1060,25,"B-7338","","M","Blue"
"FAS-0047","Zara Dress 97","Dress",263,"pcs",11863,18,"B-7080","","M","Red"
"FAS-0048","H&M Wallet 68","Wallet",192,"pcs",14730,45,"B-9652","","M","Blue"
"FAS-0049","Levis Skirt 47","Skirt",483,"pcs",8203,16,"B-6871","","M","Black"
"FAS-0050","Levis Hoodie 96","Hoodie",399,"pcs",12518,43,"B-5655","","XL","White"
"FAS-0051","H&M Sneakers 38","Sneakers",213,"pcs",369,19,"B-4875","","S","White"
"FAS-0052","Gucci Dress 54","Dress",144,"pcs",4604,35,"B-6153","","L","Black"
"FAS-0053","Armani Cap 36","Cap",83,"pcs",3825,29,"B-8697","","S","Black"
"FAS-0054","Polo Sunglasses 97","Sunglasses",88,"pcs",12619,17,"B-5901","","M","Blue"
"FAS-0055","H&M Cap 6","Cap",116,"pcs",1429,36,"B-7154","","L","Blue"
"FAS-0056","Apex Dress 84","Dress",311,"pcs",14964,42,"B-5662","","M","Red"
"FAS-0057","Adidas Shirt 65","Shirt",292,"pcs",1765,37,"B-1852","","M","Red"
"FAS-0058","Armani T-Shirt 61","T-Shirt",71,"pcs",12230,41,"B-8023","","L","Black"
"FAS-0059","Bata Belt 71","Belt",182,"pcs",1745,25,"B-2994","","XL","Blue"
"FAS-0060","Gucci Belt 18","Belt",469,"pcs",4762,49,"B-2389","","L","Black"
"FAS-0061","Bata Cap 17","Cap",161,"pcs",8383,33,"B-2563","","M","Red"
"FAS-0062","H&M Hoodie 39","Hoodie",99,"pcs",10932,50,"B-9805","","M","Red"
"FAS-0063","Apex T-Shirt 19","T-Shirt",29,"pcs",2224,40,"B-3751","","L","Black"
"FAS-0064","Nike Hoodie 3","Hoodie",33,"pcs",10738,27,"B-3434","","S","Red"
"FAS-0065","Gucci Skirt 4","Skirt",346,"pcs",3708,13,"B-2431","","L","White"
"FAS-0066","Nike Belt 11","Belt",119,"pcs",12156,20,"B-9173","","S","Red"
"FAS-0067","Polo Belt 73","Belt",434,"pcs",10747,8,"B-8229","","M","Blue"
"FAS-0068","Gucci Watch 54","Watch",493,"pcs",10712,48,"B-2156","","S","Black"
"FAS-0069","Levis Shirt 57","Shirt",435,"pcs",474,7,"B-7233","","S","Black"
"FAS-0070","Polo Sneakers 83","Sneakers",33,"pcs",2187,46,"B-1835","","S","Red"
"FAS-0071","Adidas Watch 29","Watch",457,"pcs",1616,14,"B-1657","","M","Blue"
"FAS-0072","H&M Scarf 97","Scarf",381,"pcs",11302,27,"B-1451","","S","Black"
"FAS-0073","Apex Wallet 68","Wallet",129,"pcs",5471,27,"B-7599","","S","Red"
"FAS-0074","Gucci Sunglasses 60","Sunglasses",386,"pcs",14523,20,"B-3952","","M","Black"
"FAS-0075","Levis Jacket 14","Jacket",43,"pcs",8450,8,"B-7857","","M","Red"
"FAS-0076","Adidas Sunglasses 28","Sunglasses",195,"pcs",3885,33,"B-9025","","S","Blue"
"FAS-0077","Nike Hoodie 29","Hoodie",446,"pcs",9721,27,"B-1805","","L","Black"
"FAS-0078","Nike Socks 17","Socks",371,"pcs",12623,32,"B-6335","","L","Red"
"FAS-0079","Armani Jacket 8","Jacket",66,"pcs",2537,8,"B-6769","","L","Blue"
"FAS-0080","Apex Dress 18","Dress",123,"pcs",10780,17,"B-7597","","XL","Red"
"FAS-0081","Adidas Cap 91","Cap",387,"pcs",13658,32,"B-8394","","L","Blue"
"FAS-0082","Apex Socks 58","Socks",102,"pcs",12534,40,"B-8210","","XL","White"
"FAS-0083","H&M Sunglasses 39","Sunglasses",119,"pcs",7501,26,"B-5916","","L","Red"
"FAS-0084","Adidas Belt 45","Belt",396,"pcs",14013,15,"B-8099","","L","Red"
"FAS-0085","Armani Sunglasses 55","Sunglasses",16,"pcs",9149,5,"B-2178","","L","White"
"FAS-0086","Levis Watch 75","Watch",24,"pcs",14798,15,"B-9169","","L","White"
"FAS-0087","Nike Cap 21","Cap",246,"pcs",10514,13,"B-8197","","L","White"
"FAS-0088","Gucci Scarf 77","Scarf",418,"pcs",8273,44,"B-1099","","M","White"
"FAS-0089","H&M Wallet 18","Wallet",190,"pcs",10860,16,"B-8850","","S","Blue"
"FAS-0090","Armani Wallet 64","Wallet",411,"pcs",12110,11,"B-7579","","M","Black"
"FAS-0091","Polo Watch 63","Watch",206,"pcs",4746,12,"B-2232","","XL","Black"
"FAS-0092","Bata Sunglasses 17","Sunglasses",366,"pcs",1196,17,"B-9673","","L","Red"
"FAS-0093","Armani Dress 40","Dress",92,"pcs",13254,33,"B-3458","","L","Black"
"FAS-0094","Armani Watch 43","Watch",326,"pcs",3969,31,"B-1618","","S","Black"
"FAS-0095","H&M Jeans 65","Jeans",126,"pcs",2706,32,"B-4008","","L","White"
"FAS-0096","Adidas Belt 40","Belt",493,"pcs",9937,39,"B-2649","","L","White"
"FAS-0097","Nike Sunglasses 86","Sunglasses",165,"pcs",11009,17,"B-3319","","S","White"
"FAS-0098","Levis Skirt 39","Skirt",136,"pcs",6342,18,"B-3771","","L","Black"
"FAS-0099","Apex Watch 62","Watch",281,"pcs",13373,5,"B-6603","","XL","Red"
"FAS-0100","Zara Sunglasses 3","Sunglasses",414,"pcs",14578,9,"B-4076","","M","Black"
"FAS-0101","Bata Dress 22","Dress",107,"pcs",639,16,"B-9753","","S","Red"
"FAS-0102","Levis Dress 46","Dress",360,"pcs",517,9,"B-6950","","XL","Blue"
"FAS-0103","Gucci Wallet 90","Wallet",289,"pcs",11381,27,"B-6161","","S","Red"
"FAS-0104","H&M Socks 10","Socks",460,"pcs",8538,28,"B-9350","","L","Black"
"FAS-0105","Gucci Dress 68","Dress",11,"pcs",12004,48,"B-2162","","XL","Blue"
"FAS-0106","Bata Shirt 61","Shirt",17,"pcs",7910,29,"B-5949","","L","Blue"
"FAS-0107","Armani Hoodie 84","Hoodie",411,"pcs",2463,12,"B-8323","","XL","White"
"FAS-0108","Zara Sneakers 85","Sneakers",19,"pcs",9759,22,"B-5720","","L","Red"
"FAS-0109","Zara Jacket 41","Jacket",245,"pcs",9289,34,"B-8838","","M","White"
"FAS-0110","Polo Hoodie 76","Hoodie",388,"pcs",14861,15,"B-6295","","L","Black"
"FAS-0111","Apex Wallet 82","Wallet",476,"pcs",4751,14,"B-3601","","M","Blue"
"FAS-0112","Adidas Jacket 38","Jacket",292,"pcs",9661,8,"B-3895","","XL","Blue"
"FAS-0113","Adidas Watch 33","Watch",113,"pcs",7151,50,"B-7649","","XL","Black"
"FAS-0114","Levis Jeans 8","Jeans",139,"pcs",2256,23,"B-3181","","XL","Blue"
"FAS-0115","Polo Jeans 82","Jeans",360,"pcs",10997,18,"B-2017","","XL","Blue"
"FAS-0116","Polo Hoodie 60","Hoodie",309,"pcs",12415,42,"B-2755","","L","Red"
"FAS-0117","Adidas Skirt 17","Skirt",455,"pcs",3413,34,"B-1920","","S","White"
"FAS-0118","Apex Socks 34","Socks",175,"pcs",9084,33,"B-1639","","S","White"
"FAS-0119","Apex Sneakers 63","Sneakers",490,"pcs",13715,20,"B-4248","","XL","White"
"FAS-0120","Nike Sunglasses 59","Sunglasses",32,"pcs",8070,16,"B-3399","","M","Blue"
"FAS-0121","Polo Sunglasses 86","Sunglasses",280,"pcs",2997,50,"B-5119","","S","Black"
"FAS-0122","Levis Jacket 60","Jacket",40,"pcs",3817,30,"B-3509","","S","Blue"
"FAS-0123","H&M Wallet 48","Wallet",490,"pcs",6627,9,"B-3710","","M","Blue"
"FAS-0124","Zara Hoodie 77","Hoodie",399,"pcs",7615,9,"B-1168","","L","Blue"
"FAS-0125","H&M Watch 67","Watch",500,"pcs",11713,45,"B-5227","","XL","Blue"
"FAS-0126","Polo Skirt 97","Skirt",429,"pcs",13102,38,"B-5398","","M","White"
"FAS-0127","Bata Scarf 72","Scarf",109,"pcs",3836,9,"B-6583","","XL","Blue"
"FAS-0128","Apex Belt 36","Belt",119,"pcs",12185,43,"B-8876","","XL","White"
"FAS-0129","Apex Wallet 81","Wallet",50,"pcs",5590,40,"B-4227","","S","Blue"
"FAS-0130","Nike Watch 34","Watch",488,"pcs",1404,21,"B-3266","","M","Red"
"FAS-0131","Gucci Shirt 70","Shirt",46,"pcs",6623,10,"B-7205","","M","Black"
"FAS-0132","Nike T-Shirt 22","T-Shirt",160,"pcs",14579,11,"B-2531","","M","Black"
"FAS-0133","Gucci Jacket 93","Jacket",218,"pcs",9593,39,"B-2539","","M","White"
"FAS-0134","Levis Skirt 80","Skirt",258,"pcs",994,17,"B-2719","","S","Red"
"FAS-0135","Apex Cap 99","Cap",47,"pcs",407,16,"B-6224","","L","Black"
"FAS-0136","Armani T-Shirt 69","T-Shirt",35,"pcs",7785,20,"B-4818","","L","Blue"
"FAS-0137","Levis Socks 63","Socks",452,"pcs",4899,24,"B-7843","","S","White"
"FAS-0138","Polo Skirt 97","Skirt",202,"pcs",5974,5,"B-6204","","M","Black"
"FAS-0139","Nike Socks 56","Socks",431,"pcs",12598,37,"B-4617","","XL","Black"
"FAS-0140","Gucci Jeans 1","Jeans",263,"pcs",9997,48,"B-7875","","XL","White"
"FAS-0141","Adidas Skirt 32","Skirt",293,"pcs",13815,49,"B-5730","","M","White"
"FAS-0142","Apex Watch 25","Watch",259,"pcs",3446,49,"B-1455","","M","Black"
"FAS-0143","Bata Sneakers 13","Sneakers",396,"pcs",3378,37,"B-8408","","S","Blue"
"FAS-0144","Bata Wallet 44","Wallet",466,"pcs",461,44,"B-2754","","L","Blue"
"FAS-0145","Zara Sunglasses 92","Sunglasses",46,"pcs",4131,9,"B-9240","","M","White"
"FAS-0146","Levis Shirt 93","Shirt",117,"pcs",14146,37,"B-4645","","S","Black"
"FAS-0147","Levis Cap 77","Cap",260,"pcs",13847,47,"B-6873","","XL","Red"
"FAS-0148","Adidas Sunglasses 6","Sunglasses",24,"pcs",10844,17,"B-3259","","XL","White"
"FAS-0149","Adidas Jeans 39","Jeans",340,"pcs",2868,13,"B-7912","","S","Black"
"FAS-0150","Nike Socks 74","Socks",292,"pcs",10595,26,"B-9575","","S","White"
